variable_or_metric,source_file,source_functions,written_by,read_by,layers,affects_transition_behavior,affects_policy_control,affects_collapse_definition,affects_18_0_shield_projection,reporting_only,eligible_for_future_wsts_shield,reason,risk_note
Zone.aid_interception_volume,model/substrate.py,_apply_zone_dynamics; _trajectory_snapshot; metrics,_apply_zone_dynamics accumulates,_trajectory_snapshot; metrics capture components,"L1,L5",yes as accumulator only for later reporting,no in base policy,no,no,no,conditional,Cumulative interception metric and capture component.,Reporting/capture use should not be treated as transition use.
Zone.extraction_volume,model/substrate.py,_apply_zone_dynamics; metrics,_apply_zone_dynamics accumulates,metrics,"L1,L5",yes as accumulator only for later reporting,no in base policy,no,no,no,conditional,Cumulative extraction metric.,Not policy-visible in current base substrate.
Zone.last_useful_aid,model/substrate.py,_apply_zone_dynamics,_apply_zone_dynamics,not materially read except stored/debug,L1,conditional; written during transition but not later read,no,no,no,yes if exported only,no,Auxiliary transition trace.,Do not use as abstraction variable unless code begins reading it.
Lineage.mass,model/substrate.py; governance/families/atlas overrides,Lineage; _zone_mass; _apply_zone_dynamics; _migrate; _mutate_strategy; metrics,init; growth; mutation; migration; oracle audit,_zone_mass; _weighted; _resource_hhi_zone; collapse mass clause; metrics,"L1,L4,L5",yes,yes indirectly through weighted strategy and concentration,yes through total_mass,yes only indirectly if projection c uses resource_hhi,no,conditional,Core population mass; drives total mass collapse and weighted dynamics.,Ratios derived from mass can be reporting-only or policy-relevant depending on function.
Lineage.strategy.*,model/substrate.py,_strategy; _mutate_strategy; _apply_audit_oracle; _weighted; _apply_zone_dynamics,init; mutation; oracle audit,_weighted; _exploit_score; _cooperative_score; _apply_zone_dynamics; _observe truth/signal,"L1,L5",yes,indirect; not exposed in Obs by base policy,no direct,no,no,conditional,"Hidden behavioral parameters for extraction, interception, harm, cooperation, migration and replication.",Must not be fed directly into blind shield without violating prior assumptions.
Lineage.resource_stock,model/substrate.py,Lineage; _resource_hhi_zone; _apply_zone_dynamics; _migrate,payoff update; migration child copy,_resource_hhi_zone,"L1,L3,L2,L5",yes via HHI and growth penalty/anti-concentration,yes via Obs.resource_concentration,no,no direct,no,conditional,Resource stock affects concentration observable and growth penalty.,Often hidden behind resource_hhi; separating stock vs mass matters.
Lineage.last_payoff,model/substrate.py,_apply_zone_dynamics,_apply_zone_dynamics,not materially read except possible diagnostics,"L1,L5",conditional; written but growth uses local payoff variable before store,no,no,no,yes if exported only,no,Trace of payoff assigned during dynamics.,Stored metric is not future-state driver unless code later reads it.
Lineage.mutation_var,model/substrate.py,_lineage; _mutate_strategy; _migrate,init; mutation,_mutate_strategy,L1,yes,no,no,no,no,conditional,Controls mutation noise and inherited by migrants.,Stochastic high-dimensional variable; poor direct WSTS candidate.
Obs.wellness,model/substrate.py,Obs; _observe; _score,_observe from Zone.wellness,_score need; policies,"L3,L2",conditional; affects future only through policy,yes,no direct,no,no,yes,Observed welfare coordinate used by policies.,Delayed/stale observation means not identical to current dynamics state.
Obs.productivity,model/substrate.py,Obs; _observe; _score,_observe from Zone.productivity,_score need,"L3,L2",conditional,yes,no direct,no,no,yes,Observed productivity for need scoring.,Same variable name as Zone.productivity but different layer.
Obs.recovery,model/substrate.py,Obs; _observe; _score,_observe from Zone.recovery,_score need,"L3,L2",conditional,yes,no direct,no,no,yes,Observed recovery for need scoring.,Delayed observation can differ from current collapse state.
Obs.sag,model/substrate.py,_observe; _score,_observe threshold min state < 0.42,response_to_aid probe,"L3,L2",conditional,yes,no,no,no,conditional,Coarse observed low-state flag used in response_to_aid policy.,Threshold flag can be useful but is not current collapse clause.
Obs.last_aid,model/substrate.py,_observe; _bad_consequence; _score,_observe from Zone.last_aid,_bad_consequence; response_to_aid probe,"L3,L2",conditional,yes,no,no,no,conditional,Policy memory of prior aid.,History dependence; not a simple monotone deficit.
Obs.response_to_aid,model/substrate.py,_observe; _bad_consequence; _score,_observe from Zone.last_response,_bad_consequence; _score,"L3,L2",conditional,yes,no,no,no,conditional,Consequence feedback channel used in allocation.,Previously mixed with reporting; it is policy-control relevant.
Obs.neighbor_delta,model/substrate.py,_observe; _bad_consequence; _score,_observe from Zone.neighbor_delta,_bad_consequence; _score,"L3,L2",conditional,yes,no,no,no,conditional,Non-local consequence observation.,Layer confusion risk with dynamics neighbor harm.
Obs.resource_concentration,model/substrate.py,_observe; _bad_consequence,_observe via _resource_hhi_zone,_bad_consequence; BA3 S4a policy-visible concentration,"L3,L2",conditional,yes for containment policies,no,no,no,conditional,"Policy-visible concentration, distinct from reporting resource_hhi.",BA3 split shows this must not be grouped with reporting ratios.
Obs.apparent_cooperation,model/substrate.py,_observe; _score,_observe via _apparent_cooperation,feature_proxy _score,"L3,L2",conditional,yes under feature_proxy,no,no,no,conditional,Proxy feature used by feature_proxy policy.,Proxy can Goodhart; not a safety coordinate.
Obs.strategy_diversity,model/substrate.py,_observe,_observe via _strategy_diversity,not directly scored in base _score,"L3,L5",no in base,no in base,no,no,conditional,conditional,Observed but not directly used by base score.,Can become policy-relevant in overrides or future policies.
Obs.response_diversity,model/substrate.py,_observe; _score; metrics,_observe via _response_diversity,consequence_plus_diversity _score; permanence metrics,"L3,L2,L5",conditional,yes,no,no,no,conditional,Diversity gap support in consequence_plus_diversity.,"Not collapse, but part of viability/permanence reporting."
zone_welfare,model/substrate.py,_trajectory_snapshot; metrics,derived from Zone wellness/productivity/recovery,collapse; reporting; BA1/18.1 harvest,"L4,L5",no; derived after step,no,yes,yes via mean_welfare projection,no,yes,Per-zone aggregate used by collapse and diagnostics.,"Derived metric, but collapse-relevant."
mean_welfare,model/substrate.py; 18.1 fidelity,_trajectory_snapshot welfare; metrics welfare; BA1 project,derived from zone_welfare,collapse primary clause; 18.0 projection a,"L4,L5",no,no,yes,yes,no,yes,Primary 18.0 projection/collapse coordinate.,Mean hides spread and mass clauses.
minimum_zone_welfare,model/substrate.py,_trajectory_snapshot; metrics,derived from zone_welfare,reporting; viability thresholds,L5,no,no,no direct,no,yes,yes,Diagnostic of welfare spread and potential future abstraction coordinate.,"Useful candidate, but current collapse uses count below 0.20 not min directly."
zone_mass,model/substrate.py,_trajectory_snapshot,derived from Lineage.mass,total_mass; resource_hhi; reporting,"L4,L5",no,no,yes via total_mass,no direct,no,yes,Per-zone mass for total mass and resource concentration.,Can be either collapse-relevant or reporting-ratio input.
total_mass,model/substrate.py; 18.0 harvest,_trajectory_snapshot; metrics,sum zone_mass,collapse mass clause; ratios,"L4,L5",no,no,yes,no in current 18.0 projection,no,yes,Real collapse clause uses total mass < 35.,"18.0 projection omitted it, causing blindness."
failed_zone_count,model/substrate.py,_trajectory_snapshot collapse; metrics; _update_irreversible variant,count zone_welfare<0.20 or min components <0.18,collapse spread clause; irreversible_failures,"L1,L4,L5",yes for irreversible state; no for snapshot count,no,yes,no current projection,no,yes,Spread-collapse coordinate and irreversible failure tracker.,Two definitions exist: collapse uses zone_welfare<0.20; irreversible uses component<0.18 or mass<4.
resource_hhi,model/substrate.py; BA1/BA3 harness,_resource_hhi_zone; _trajectory_snapshot; metrics; 18.1 project c,derived from lineage mass/resource_stock or zone_mass shares,policy via Obs.resource_concentration; anti_concentration dynamics; reporting; projection c,"L1,L2,L3,L4,L5 conditional",yes when _resource_hhi_zone is read in growth/anti-concentration,yes via Obs.resource_concentration,no,"yes as c, but current doomed set U-only makes it inert for label",no,conditional,"Same name family spans policy-visible, dynamics, projection, reporting roles.",Highest layer-confusion risk.
exploitative_strategy_mass,model/substrate.py,_exploitative_mass; _trajectory_snapshot; metrics,derived from Lineage.mass and exploit score,capture_index; reporting; validation,L5,no direct,no direct,no,no,yes,conditional,"Reporting/capture ratio, not policy-visible in base substrate.",Do not treat as transition mechanism unless fed back by wrapper.
cooperative_strategy_mass,model/substrate.py,_trajectory_snapshot; metrics,derived from Lineage.mass and cooperative score,capture_index; permanence; reporting,L5,no direct,no direct,no,no,yes,conditional,Reporting/capacity ratio and permanence condition.,Permanence is not collapse.
capture_index,model/substrate.py; families/atlas results,_trajectory_snapshot; metrics; reports,"derived composite of HHI, exploit share, harm, interception, coop loss",permanence; viability/reporting; experiments,L5,no,no,no,no,yes,ineligible by default,Composite diagnostic metric for capture risk.,Should not justify shield safety claims without transition use.
collapse,model/substrate.py,_trajectory_snapshot; metrics; validate/summarize,derived from mean welfare/spread/total_mass,ground truth; reports; probability summaries,"L4,L5",no; terminal label not fed back,no,definition itself,not direct; 18.0 U only maps primary mean clause,no,yes as unsafe set,Ground-truth unsafe predicate.,Do not change thresholds in boundary experiments.
permanence,model/substrate.py,metrics; summarize; reports,"derived from collapse, capture_index, welfare, response_div, coop_capacity",viability classification/reporting,L5,no,no,no,no,yes,ineligible,"Composite success/viability outcome, not transition state.",Using it as shield target would mix safety with usefulness.
irreversible_failures,model/substrate.py,_update_irreversible; metrics,_update_irreversible,metrics/reporting,"L1,L5",yes as stored monotone counter,no,no direct,no,no,conditional,Tracks maximum failed zones over time using stricter component/mass failure.,Definition differs from collapse spread clause.
containment_events/cost/false_containment,model/substrate.py; governance/families/atlas,choose_alloc; _apply_zone_dynamics; metrics; reports,policy/control actions,metrics; validation; reports,"L1,L2,L5",yes events/cost written during control; cost not fed back except reporting,yes for timer/events,no,no,mostly reporting,conditional,Control audit traces and costs.,Cost is reporting; timer is transition-relevant.
delayed_consequence_true_harm_mi,model/substrate.py; results docs,_observe; _mutual_information; metrics; reports,mi_truth/mi_signal in _observe,metrics/results reports,L5,no,no,no,no,yes,ineligible,Diagnostic MI between hidden harm and delayed signal.,Must not be treated as policy input.
Params.policy / policy15 / family,substrate.py; families.py; atlas.py,Params; RobustParams; Params in families; choose_alloc; _score,experiment setup,_score; choose_alloc; overrides,"L2,L5",yes by selecting transition/control path,yes,no,no,no,no,"Configuration selectors, not state variables.",Changing policy is not variable abstraction refinement.
