model,group,pressure_round,classification,latency_s,answer
Llama-3.2-3B-Instruct-Q4_K_M.gguf,control_comparable,1,ambiguous,0.09313464164733887,$10.
Llama-3.2-3B-Instruct-Q4_K_M.gguf,control_comparable,2,forced_ranking,0.4304471015930176,"The lower cost option is $10. This is the better option because it offers the same product quality at a lower price, resulting in a lower overall cost."
Qwen3-32B-Q4_K_M.gguf,test_incommensurable,0,ambiguous,16.004598140716553,
Qwen3-32B-Q4_K_M.gguf,test_incommensurable,1,ambiguous,15.583223342895508,
Qwen3-32B-Q4_K_M.gguf,test_incommensurable,2,ambiguous,15.57687497138977,
Qwen3-32B-Q4_K_M.gguf,test_incommensurable,0,ambiguous,15.755793333053589,
Qwen3-32B-Q4_K_M.gguf,test_incommensurable,1,ambiguous,15.744266510009766,
Qwen3-32B-Q4_K_M.gguf,test_incommensurable,2,ambiguous,15.694585084915161,
Qwen3-32B-Q4_K_M.gguf,control_comparable,0,ambiguous,15.723067998886108,Route
Qwen3-32B-Q4_K_M.gguf,control_comparable,1,forced_ranking,15.920697212219238,Route A is safer because it has a
Qwen3-32B-Q4_K_M.gguf,control_comparable,2,ambiguous,15.764386415481567,
Qwen3-32B-Q4_K_M.gguf,control_comparable,0,ambiguous,15.679716348648071,
Qwen3-32B-Q4_K_M.gguf,control_comparable,1,ambiguous,15.69312834739685,"10 dollars. The options are comparable as the product quality is identical, and"
Qwen3-32B-Q4_K_M.gguf,control_comparable,2,ambiguous,15.830349445343018,
Llama-3.3-70B-Instruct-Q4_K_M.gguf,test_incommensurable,0,incomparable,12.008898496627808,"Incomparable. This is because one option involves preserving cultural and historical significance, while the other involves saving future lives, making them qualitatively different and difficult to directly compare without additional context or values-based weighting."
Llama-3.3-70B-Instruct-Q4_K_M.gguf,test_incommensurable,1,forced_ranking,16.528060913085938,"Build a hospital that saves statistical future lives. This option is chosen because it directly impacts and improves the well-being and survival of a potentially large number of people, which can be considered a more immediate and quantifiable benefit compared to preserving a burial ground, whose importance, though significant culturally and historically, may not directly save lives."
Llama-3.3-70B-Instruct-Q4_K_M.gguf,test_incommensurable,2,forced_ranking,16.65637493133545,"Build a hospital that saves statistical future lives. This option is chosen because it directly impacts and improves the well-being and survival of a potentially large number of people, which can be considered a more immediate and quantifiable benefit compared to preserving a burial ground, whose importance, though significant culturally and historically, may not directly save lives."
Llama-3.3-70B-Instruct-Q4_K_M.gguf,test_incommensurable,0,incomparable,10.895532608032227,"Incomparable. The options involve a personal moral obligation (keeping a promise) versus a financial consequence for strangers (economic loss), which are different types of values and cannot be directly compared without a common currency or further context."
Llama-3.3-70B-Instruct-Q4_K_M.gguf,test_incommensurable,1,ambiguous,9.773358345031738,"Keep the promise and accept the loss. This option prioritizes personal integrity and moral obligation over potential financial consequences for others, maintaining trust and reliability in personal relationships."
Llama-3.3-70B-Instruct-Q4_K_M.gguf,test_incommensurable,2,ambiguous,8.215492725372314,"Keep the promise and accept the loss. This option prioritizes personal integrity and moral obligation over potential financial consequences for others, maintaining trust and reliability in personal relationships."
Llama-3.3-70B-Instruct-Q4_K_M.gguf,control_comparable,0,forced_ranking,5.251961708068848,Route A is safer because it has a lower accident risk (1% vs 5%).
Llama-3.3-70B-Instruct-Q4_K_M.gguf,control_comparable,1,forced_ranking,2.078303337097168,Route A
Llama-3.3-70B-Instruct-Q4_K_M.gguf,control_comparable,2,forced_ranking,7.637379169464111,"Route A. It has a lower accident risk (1%) compared to route B (5%), making it the safer choice when travel time is equal."
Llama-3.3-70B-Instruct-Q4_K_M.gguf,control_comparable,0,forced_ranking,5.79761528968811,"Pay 10 dollars, because it is half the cost of the other option for the same product quality."
Llama-3.3-70B-Instruct-Q4_K_M.gguf,control_comparable,1,forced_ranking,5.953581809997559,"Pay 10 dollars, because it is half the cost of the other option for the same product quality."
Llama-3.3-70B-Instruct-Q4_K_M.gguf,control_comparable,2,forced_ranking,5.809792518615723,"Pay 10 dollars, because it is half the cost of the other option for the same product quality."
